Timestamp,Username,School name,Grades served,School ID number,School address,Lat,Long,School start time,School end time,School phone number,School fax number,School email,School website link,Neighborhood,Principal,School tours,Uniforms and dress code,Pre-Kindergarten,Transitional Kindergarten (TK),Before school programs,Does your before school program offer:,Afterschool programs,Does your afterschool program offer:,Multilingual Pathways,Special education classes,Student support programs,Arts enrichment,Academic enrichment,Middle school feeder
5/10/16 7:57,spearmonj@sfusd.edu,Visitacion Valley Elementary School,K-5,867,55 Schwerin St.,37.712723,-122.409871,8:40 am M-F,2:40 pm M-F,415-469-4796,1-415-469-4099,sch867@sfusd.edu,www.867.sfusd.edu,Visitacion Valley,Johnnie L. Spearmon,Second Wednesday of each month,White Shirts and dark pants/ White Blouse and dark jumper,Not available at this school,Not available at this school,,"Reading support, Tutoring, Physical activities or recess, Dance, Art, Basic Coding, Mentorships,",ExCEL program,"Reading support, Tutoring services, Math enrichment, Physical activities or recess",Cantonese Dual Language Immersion,Mild/moderate,"Student study group, Mentoring, Tutoring, Reading enrichment, English literacy support, English learner support, Elementary advisor, Family liaison, Social worker, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Dance, Visual arts, Drumming","Tutoring, English language development, Mission Science Workshop program",Visitacion Valley Middle School
5/10/16 8:38,edwardsd@sfusd.edu,Sheridan Elementary ,PreK-5,820,431 Capitol Ave.,37.714879,-122.459797,7:50 am M-F,"2:05 pm M, T, TH, F; 12:50 pm W",415-469-4743,415-4694089,edwardsd@sfusd.edu,,"OMI Oceanview, Meced, Ingelside ",Dina Edwards,9:30 am Mondays,"We are a uniform school. White shirt, blue bottoms and Sheridan sweat shirt. ",Available onsite,Available onsite,,,ExCEL program,"Drama, Music, Dance, Visual arts, Cooking, Sports, Physical activities or recess",,,"Mentoring, Reading enrichment, Family liaison, Social worker, On-site nurse, Librarian, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Choir, Gardening",,Denman
5/10/16 10:38,sch786@sfusd.edu,Rosa Parks Elementary School,K-5,786,"1501 O'Farrell St., San Francisco, CA  94115",37.783415,-122.429772,7:50 am M-F,1:50 pm M-F,415-749-3519,415-749-3610,sch786@sfusd.edu,https://rosaparks-sfusd-ca.schoolloop.com/    and  http://www.sfusd.edu/en/schools/school-information/rosa-parks.html,Western Addition,Paul Jacobsen,Check SchoolLoop or call for tour schedule: 415-749-3519,"White or navy blue colored shirt/blouse. Navy blue pants, skirt, shorts or skort.",Available onsite,Not available at this school,,,"ExCEL program, In our Preschool Building there is a separate program, Raphael Weill Afterschool Program for K-5.","Sports, Physical activities or recess, There are two afterschool programs. One is more homework help based. The other offers homework help, athletics and clubs which vary from year to year. Separately, we have Academic Chess and Guitar. ",Japanese FLES Pathway,"Mild/moderate, Resource Specialist Program (RSP) services","Mentoring, Tutoring, English literacy support, English learner support, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Food Bank and School Snack program, ","Performing arts, Dance, Jazz, Visual arts, Cooking, Gardening, K-2 Music, 4-5 Instrumental Music, 3rd grade Jazz, 2nd grade SF Ballet, K-3 PAW/Nagata Dance, 4th grade Capoeira, 5th grade Hip Hop","Tutoring, Writer's workshop, English language development, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics), UCSF Science Squad, Reading Partners, AEMP (Academic English Mastery Program), Gardening & Nutrition  with Gardening Team & Community Grows, Experience Corp, Jewish Coalition for Literacy, SF Ed Fund volunteers, Stuart Hall and Gateway HS volunteers,    ",Presidio Middle School
5/12/16 9:58,lees5@sfusd.edu,Sunset Elementary,K-5,750,"1920 41st Ave., San Francisco, CA 94116",37.750998,-122.499876,8:40 am M-F,2:40 pm M-F,415-759-2760,415-759-2729,sch750@sfusd.edu,www.sunset-pta.org,Sunset,Sophie Lee,9 am Thursdays from October to January,,Not available at this school,Not available at this school,YMCA (onsite),Child care,"ExCEL program, PTA Sponsored enrichment classes","Mandarin language program, Reading support, Math enrichment, Writing, Drama, science, engineering",,"Mild/moderate, Moderate/severe (autism focus)","English learner support, Speech therapist, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST)","Choir, Theater, Dance, Visual arts","Homework help, Writer's workshop, English language development, Project-based learning, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics)",A P Giannini
5/12/16 10:27,fongc1@sfusd.edu,Ulloa Elmentary School,K-5,862,"2650 42nd Ave., San Francisco, CA 94116",37.737478,-122.499907,9:30 am M-F,3:30 pm M-F,415) 759-2841,415) 759-2845,sch862@sfusd.edu,www.sfusd.edu,Outer Sunset,Carol L. Fong,9:45 am Wednesdays from October to January,No uniforms,Not available at this school,Not available at this school,Ulloa Child Care Center,"Child care, Physical activities or recess","ExCEL program, Ulloa Child Care","Child care, Reading support, Math enrichment, Writing, Dance, Physical activities or recess",Cantonese Biliteracy Pathway,,"English literacy support, Speech therapist, Social worker, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Choir, Performing arts, Dance, Visual arts, Gardening","Writer's workshop, Literature support, English language development, Library, Computer lab",Hoover Middle School
5/12/16 14:15,chenj8@sfusd.edu,Lawton Alternative School (K-8),K-8,676,1570 31st Ave.,37.758438,-122.48903,9 am M-F,3:30 pm M-F,415-759-2832,415-759-2842,Sch676@sfusd.edu,https://lawton-sfusd-ca.schoolloop.com/,Sunset,Gina Ferrante,9:25 am on the 2nd Tuesdays and Thursdays from October to January,,Not available at this school,Not available at this school,KEEP,Child care,"YMCA - PRIDE, KEEP and Mandarin Class","Mandarin language program, Child care",,,,,,
5/12/16 16:12,reedym@sfusd.edu,Grattan,PreK-5,589,165 Grattan St. 94117,37.763837,-122.450473,7:50 am M-F,1:50 pm M-F,415 759-2815,415 759-2850,,,Cole Valley,Cate Walter,8:20 am Fridays from October to January ,,Available onsite,Not available at this school,,,Grattan After School Program,"Reading support, Tutoring services, Math enrichment, Academic chess, Visual arts, Gardening, Cooking, Sports, Physical activities or recess",,Mild/moderate (autism focus),"Mentoring, Reading enrichment, English literacy support, English learner support, Counselor or therapist, Speech therapist, Family liaison, Psychologist, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Inclusion Committee","Arts residency, Dance, Writing or poetry, Visual arts, Gardening","Writer's workshop, English language development, Project-based learning, Computer lab",AP Giannini
5/13/16 14:42,mallenk@sfusd.edu,Miraloma Elementary School,K-5,722,"175 Omar Way, San Francisco, CA 94127",37.738985,-122.45004,7:50 am M-F,1:50 pm M-F,415-469-4734,415-469-6069,sch722@sfusd.edu,miralomasf.com,Miraloma Park,Noah Ingber,Tour dates and times available at miralomasf.com,,Not available at this school,Not available at this school,,,ExCEL program,"Child care, Reading support, Tutoring services, Drama, Visual arts, Gardening, Sports, Physical activities or recess",,Mild/moderate (autism focus),"Tutoring, Reading enrichment, Counselor or therapist, Speech therapist, Elementary advisor, Social worker, Psychologist, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Success Team (SST)","Arts residency, Choir, Performing arts, Theater, Dance, Writing or poetry, Visual arts, Ceramics, Gardening","Homework help, Tutoring, Writer's workshop, English language development, Library, STEAM (science, technology, engineering, arts, mathematics)",James Denman Middle School
5/14/16 11:18,mansagers@sfusd.edu,John Muir Elementary ,PreK-5,650,380 Webster ,37.774009,-122.428735,8:40 am M-F,3:50 pm M-F,415-241-6355,415-431-9938,mansagers@sfusd.edu,johnmuir-sfusd-ca.schoolloop.com,Western Addition,Shawn Mansager ,9 am Wednesdays and upon request with appointment ,"White or burgundy polo shirt; Navy blue pants, skirt or jumper, blue or burgundy sweater.",Available onsite,,Morning Care ,,Western Addition Beacon Center  ,"Reading support, Drama, Music, Dance, Visual arts, Gardening, Cooking, Student Leadership ",Spanish Dual Language Immersion,"Mild/moderate, PreK Autism: Moderate Severe ","Mentoring, Reading enrichment, English literacy support, English learner support, Spanish literacy support, Counselor or therapist, Speech therapist, Family liaison, Social worker, Psychologist, On-site nurse, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Success Team (SST), Student Attendance Review Team (SART), Attendance Liaison ","Arts residency, Theater, Dance, Writing or poetry, Visual arts","Writer's workshop, English language development, Spanish language development, STEAM (science, technology, engineering, arts, mathematics)",James Lick 
5/15/16 21:10,cheongw@sfusd.edu,Starr King Elementary,PreK-5,838,"1215 Carolina St., San Francisco, CA 94107",37.753506,-122.398993,8:40 am M-F,2:40 pm M-F,415-695-5797,415-695-5338,,starrkingschool.net,Potrero Hill,Wendy Cheong,By appointment,"White or navy collared shirt, navy bottoms, no jeans.",Available onsite,Not available at this school,,,ExCEL program,"Mandarin language program, Reading support, Tutoring services, Math enrichment, Academic chess, Computer coding, Music, Dance, Gardening, Cooking, Sports, Physical activities or recess",Mandarin Dual Language Immersion,Moderate/severe (autism focus),"Mentoring, Tutoring, English literacy support, English learner support, Counselor or therapist, Speech therapist, Elementary advisor, Family liaison, Social worker, On-site nurse, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Theater, Visual arts, Gardening",,Aptos
5/16/16 12:36,krugerk@sfusd.edu,Community Home-Based Education,K-8,483,"1350 7th Ave., San Francisco CA 94122",37.76346,-122.463819,9 am M-F,3:30 pm M-F,415-242-5000,415-242-2655,sch466@sfusd.edu,http://ihs-sfusd-ca.schoolloop.com/,Inner Sunset,Anna Klafter,By appointment ,,Not available at this school,Not available at this school,,,,,,,"Tutoring, Librarian, Student Assistant Program (SAP), Student Success Team (SST)",,,
5/20/16 16:40,sanchezm5@sfusd.edu,Cleveland Elementary,K-5,481,455 Athens St.,37.720992,-122.429138,9:30 am M-F,3:30 pm M-F,415-469-4709,415-469-4051,sch481@sfusd.edu,,Excelsior,Mark Sanchez,"Any day, call to make an appointment",Navy blue pants or skirts. White polo shirts.,Not available at this school,Not available at this school,ExCEL program,"Reading support, Art activities",ExCEL program,"Reading support, Tutoring services, Visual arts, Cooking, Sports, Homework support",Spanish Biliteracy Pathway,Mild/moderate,"Tutoring, English literacy support, English learner support, Spanish literacy support, Speech therapist, Elementary advisor, Family liaison, Social worker, Psychologist, On-site nurse, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Success Team (SST)","Arts residency, Performing arts, Writing or poetry, Visual arts, Ceramics, Gardening","Tutoring, Writer's workshop, English language development, Library, Computer lab",Visitacion Valley
5/20/16 18:58,kasnery@sfusd.edu,Francis Scott Key Elementary School,K-5,544,"1530 43 rd Ave., San Francisco, CA 94122",37.758527,-122.501982,7:50 am M-F,1:50 pm M-F,415-759-2811,415-759-2810,,www.francisscottkeyschool.org/ ,Outer Sunset,Ying Mimi Kasner,8:30 -9:30 am Wednesday October to January,,Not available at this school,Not available at this school,,,"ExCEL program, SFUSD Early Education Program","Mandarin language program, Spanish language program, Tutoring services, Academic chess, Drama, Visual arts, Cooking, Sports, Physical activities or recess, STEM, Lion Dance, Judo, and more",,"Mild/moderate, Moderate/severe","Tutoring, Speech therapist, Elementary advisor, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), RtI","Arts residency, Theater, Dance, Visual arts, Cooking, Gardening, Art-In-Action","Tutoring, Writer's workshop, English language development, Project-based learning, Library, Computer lab, Science Sacks",A.P. Giannini Middle School
5/20/16 23:55,okuboc@sfusd.edu,Argonne Elementary ,K-5,435,680 18th Ave.,37.775584,-122.476436,8:30 am M-F,2:40 pm M-F; Summer Session 1 pm for Kindergarten; 2 pm for grades 1-5,415-750-8460,415-750-8462,okuboc@sfusd.edu,www.argonnesf.org,Richmond District ,Cami Okubo,8:45 am Mondays on 10/10/16; 10/24/16; 11/14/16; 11/28/16; and Tuesdays on 12/13/16; 1/10/17,,Not available at this school,Not available at this school,7:30 am Morning Care ,"Child care, Safety patrol, Reading support, Tutoring","ExCEL program, YMCA; Chinese After School Program; Russian After School Program; After School Enrichment ","Cantonese language program, Mandarin language program, Russian language program, Foreign language program, Child care, Reading support, Tutoring services, Math enrichment, Academic chess, Computer coding, Writing, Drama, Music, Dance, Visual arts, Gardening, Cooking, Sports, Physical activities or recess",,Mild/moderate,"Mentoring, Tutoring, Reading enrichment, English literacy support, English learner support, Counselor or therapist, Speech therapist, Psychologist, Technology teacher, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART), Student Council","Arts residency, Choir, Performing arts, Theater, Dance, Writing or poetry, Visual arts, Ceramics, Gardening","Homework help, Tutoring, Writer's workshop, Literature support, English language development, Project-based learning, Library, Computer lab, STEAM (science, technology, engineering, arts, mathematics), Field Trip/Study Experiences; Buddy Classroom Enrichment ",Presidio Middle School
5/21/16 9:00,tamv@sfusd.edu,Chinese Education Center Elementary School,K-5,476,"657 Merchant St., San Francisco, CA 94111",37.795045,-122.40403,8:30 am M-F,2:35 pm M-F,415.291.7918,415.291.7965,sch476@sfusd.edu,,"Chinatown, North Beach, Financial District",Victor Tam,By appointment,,Not available at this school,Not available at this school,,,"ExCEL program, ExCEL AFTERSCHOOL PROGRAM run by the CHINATOWN YMCA","Reading support, Tutoring services, Math enrichment, Writing, Drama, Music, Dance, Visual arts, Cooking, Sports, Physical activities or recess",Chinese Newcomer Pathway,,"English literacy support, English learner support, Family liaison, Social worker, Librarian, Student Assistant Program (SAP), Student Success Team (SST)","Visual arts, Ceramics","Homework help, Tutoring, English language development, Computer lab",FRANCISCO MIDDLE SCHOOL and VISITATION VALLEY MIDDLE SCHOOL
5/21/16 9:47,luceyw@sfusd.edu,West Portal Elementarry School,K-5,876,"5 Lenox Way, San Francisco, CA 94127",37.743871,-122.464637,8:40 am M-F,2:40 pm M-F,415-759-2846,415-242-2526,876@sfusd.edu,www.westportalschool.com,Upper Sunset,Will Lucey,9 am Thursdays from October to January,,Not available at this school,Not available at this school,Growth Learning Opportunities,Child care,"Growth Learning Opportunities, Mandarin","Mandarin language program, Child care, Academic chess, Chinese Performing Arts Program",Cantonese Dual Language Immersion,,"Mentoring, English literacy support, English learner support, Speech therapist, Elementary advisor, Social worker, Librarian, Restorative practices, Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Arts residency, Performing arts, Writing or poetry, Gardening, Chinese Performing Arts Program, Spring Musical","Writer's workshop, Project-based learning, Library, Computer lab, Parent Club Sponsored Science, Math and Literacy Nights",Hoover
5/22/16 14:20,stewarte@sfusd.edu,Emmanuel S. Stewart,K-5,625,"1360 Oakdale Ave., San Francisco, CA 94124",37.732424,-122.386105,8:30 a.m. M-F,"2:40 pm M, T, W, F; 1 pm TH early release",415-330-1540,415-467-7217,,carver-sfusd-ca.schoolloop.com ,Bay View Hunter's Point Neighborhood,Emmanuel S. Stewart,9-10 am Mondays and afternoons by appointment.,"Boys: navy blue pants, white polo shirt and Mayfair sweater ONLY. Girls: navy blue pants ONLY, white blouse or polo shirt, Mayfair plaid jumper and Mayfair sweater.",Not available at this school,Not available at this school,,,ExCEL program,"Reading support, Tutoring services, Drama, Dance, Visual arts, Cooking, Sports, Physical activities or recess",,Resource Specialist Program (and) Designated instructional services,"Student study group, Mentoring, English literacy support, Counselor or therapist, Speech therapist, Elementary advisor, Family liaison, Social worker, On-site nurse, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Assistant Program (SAP), Student Success Team (SST), Student Attendance Review Team (SART)","Dance, Visual arts, Drumming, Gardening","Homework help, Tutoring, Computer lab, Response to Intervention Program (RTI): Support staff provides targeted interventions and small-group instruction in English Language Arts and Mathematics",Aptos Middle School and Willie Brown Middle School
5/22/16 17:02,bettic@sfusd.edu,Longfellow Elementary School,K-5,691,755 Morse St.,37.710996,-122.446926,8:40 am M-F,2:40 pm M-F,415-469-4730,415-469-4068,Sch691@sfusd.edu,,Crocker Amazon,Carrie Betti,9 am Tuesdays from October to January,"Navy pants, skirts, shorts, white shirts",Not available at this school,Not available at this school,YMCA,Child care,ExCEL program,"Reading support, Tutoring services, Dance, Visual arts, Cooking, Physical activities or recess","Spanish Biliteracy Pathway, Filipino FLES Pathway",Mild/moderate (autism focus),"Mentoring, Tutoring, English literacy support, Speech therapist, Elementary advisor, Social worker, Psychologist, Technology teacher, Librarian, Restorative practices, Coordinated Services Team (CST/Care Team), Student Attendance Review Team (SART)","Dance, Visual arts","Writer's workshop, English language development, Library, Computer lab, Mission Science Workshop program","Denman, Vis Valley MS"
5/23/16 10:58,levinl@sfusd.edu,Sherman Elementary,K-5,823,1651 Union St.,37.798236,-122.426165,7:50 am M-F,1:50 pm M-F,415-749-3530,415-749-3433,,shermanschool.org,Marina,Lisa Levin,9 am first Friday of the month,,Not available at this school,Not available at this school,,,ExCEL program,"Reading support, Math enrichment, Drama, Dance, Visual arts, Gardening, Cooking, Physical activities or recess",,Mild/moderate (autism focus),"English literacy support, Speech therapist, Social worker, Librarian, Restorative practices, Student Success Team (SST)","Arts residency, Dance, Visual arts, Gardening","Writer's workshop, Literature support, Project-based learning, Library, Computer lab, Outside eduaction",Marina Middle School
